fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
2024-01-01,4 Esquinas (GPRS),15.76,7.35,,,4.2
2024-01-01,Aguadas (GPRS),16.9,11.51,78.63,49.85,2.4
2024-01-01,Aiquile (GPRS),36.61,21.86,72.33,46.58,
2024-01-01,Alto Peñas (GPRS),13.33,10.83,76.56,66.84,4.7
2024-01-01,Aroma (GPRS),22.78,11.39,59.29,21.24,
2024-01-01,Cabaña Forestal Oruro,,,,,4.2
2024-01-01,Camiri,34.0,23.0,87.8,43.6,
2024-01-01,Chua Cocani_M (GPRS),15.15,8.15,90.2,54.34,0.7
2024-01-01,Cobija,31.0,25.0,93.3,69.8,
2024-01-01,Cobija Aeropuerto,,,,,1.8
2024-01-01,Cochabamba,28.0,18.0,87.4,26.3,
2024-01-01,Cochabamba Aeropuerto,,,,,4.4
2024-01-01,Concepcion,30.0,24.0,93.3,65.6,
2024-01-01,Cuatro Cañadas - CEA-2 (GPRS),31.66,31.39,61.95,52.23,
2024-01-01,Cuatro Cañadas - Colonia Chihuahua (GPRS),34.55,32.33,59.41,51.22,
2024-01-01,Desaguadero_M,16.31,14.15,60.53,52.54,1.0
2024-01-01,El Alto,16.0,9.0,92.8,47.7,
2024-01-01,El Alto Aeropuerto,,,,,0.4
2024-01-01,El Común Caraparí,,,,,68.2
2024-01-01,Guajara-Mirim - Guayaramerín,,,,,14.0
2024-01-01,Huancane Corapata_M (GPRS),,,,,1.6
2024-01-01,Huarisuyo (GPRS),17.14,7.56,85.3,49.67,0.1
2024-01-01,Isla Suriqui_M (GPRS),15.02,14.04,67.14,58.63,3.9
2024-01-01,Jesús de Machaca_M (GPRS),16.88,13.82,66.29,45.9,
2024-01-01,Mairana_M (GPRS),207.9,207.9,247.8,247.8,
2024-01-01,Mizque - SDC (GPRS),28.7,27.7,48.36,38.02,4.6
2024-01-01,Oruro (GPRS),18.0,12.0,71.0,45.0,
2024-01-01,Pailon - Pozo del Tigre (GPRS),32.44,32.44,59.73,49.65,
2024-01-01,Pocona - SDC (GPRS),29.13,16.29,86.5,36.39,
2024-01-01,Pojo - SDC (GPRS),24.69,24.43,59.25,57.62,
2024-01-01,Potolo_M (GPRS),0.0,0.0,0.0,0.0,
2024-01-01,Potosí,17.0,9.0,66.9,54.8,
2024-01-01,Presa Misicuni (GPRS),,,,,2.6
2024-01-01,Puente Chiñata_H- SDC (GPRS),,,,,20.8
2024-01-01,Puerto Villarroel (GPRS)_M,31.85,29.34,76.46,66.64,1.2
2024-01-01,Putucuni Calientes (GPRS),11.35,7.26,91.4,56.74,2.6
2024-01-01,Quila Quila_M (GPRS),23.3,21.99,53.73,39.11,
2024-01-01,Riberalta,31.0,25.0,93.3,69.7,
2024-01-01,Rosario del Ingre,,,,,28.0
2024-01-01,Rurrenabaque,32.0,30.0,69.7,62.2,
2024-01-01,Sacacani_M (GPRS),,,,,2.4
2024-01-01,San Andres de Machaca_M (GPRS),16.83,14.55,55.73,40.81,0.4
2024-01-01,San Jacinto_M (GPRS),25.89,23.68,69.21,52.92,
2024-01-01,San Javier,30.0,26.0,78.0,61.7,
2024-01-01,San Javier Aeropuerto (F),30.0,26.0,78.0,61.7,
2024-01-01,San Julian - Comunidad Los Angeles (GPRS),32.25,32.25,58.66,58.66,
2024-01-01,San Julian - Nucleo 32 (GPRS),32.33,31.28,,,0.6
2024-01-01,San Pedro - Río Victoria (GPRS),31.47,29.78,73.36,67.31,1.0
2024-01-01,San Pedro - San Antonio (GPRS),31.47,29.89,74.32,69.01,
2024-01-01,San Pedro de Buena Vista (GPRS),25.04,22.89,61.32,39.38,0.6
2024-01-01,San Pedro de Tiquina_M (GPRS),,,,,3.9
2024-01-01,San Roque - El Alto (GPRS),19.02,13.4,67.75,48.39,1.1
2024-01-01,Santa Ana - Yacuma,32.0,25.0,93.3,58.5,
2024-01-01,Santa Ana del Yacuma Aerop,,,,,1.0
2024-01-01,Sunjani (GPRS),16.97,13.88,66.05,34.78,2.2
2024-01-01,Tacagua_M (GPRS),20.44,16.42,44.28,33.95,2.7
2024-01-01,Tarija,27.0,20.0,82.2,53.9,
2024-01-01,Templo (GPRS),13.53,10.65,71.48,38.1,1.2
2024-01-01,Temporal - SDC (GPRS),26.86,22.14,0.17,0.02,
2024-01-01,Trinidad,32.0,26.0,87.9,62.2,
2024-01-01,Trinidad Aeropuerto,,,,,12.5
2024-01-01,Trompillo Aeropuerto,,,,,0.4
2024-01-01,Vacas - SDC (GPRS),17.36,13.72,74.83,58.34,5.3
2024-01-01,Viacha_M (GPRS),17.8,11.57,78.84,47.38,2.1
2024-01-01,Vila Vila - SDC (GPRS),26.31,24.79,45.38,38.88,
2024-01-01,Viru Viru,32.0,25.0,93.3,58.5,
2024-01-01,Viru Viru Aeropuerto,,,,,0.2
2024-01-01,Viscachas Chirage (GPRS),13.23,8.92,88.8,65.56,10.3
2024-01-01,Vivero Chimboco - SDC (GPRS),26.85,14.61,85.9,29.86,3.9
2024-01-01,Vivero Viloma - SDC (GPRS),29.34,24.23,39.48,21.3,3.2
2024-01-01,Wila Cala (GPRS),12.68,6.87,95.44,62.81,0.6
2024-01-01,Yacuiba,33.0,28.0,69.3,55.3,
2024-01-02,4 Esquinas (GPRS),14.77,11.76,,,9.3
2024-01-02,Aguadas (GPRS),19.86,13.21,81.4,43.21,1.6
2024-01-02,Aiquile (GPRS),34.94,16.87,74.13,37.66,
2024-01-02,Alto Peñas (GPRS),8.15,6.28,97.0,71.69,
2024-01-02,Andamarca,,,,,7.0
